net.n 16
the 0 layer
b address: 0x77114008
state.workspace address: 0x78a19008
data_col address: 0x77114008
c[286] = -0.395312
c[287] = -0.265593
c[288] = -0.519927
c[289] = -0.521075
c[290] = -0.245327
c[291] = -0.497658
c[292] = -0.499804
c[293] = -0.249950
c[294] = -0.546983
c[295] = -0.474511
c[296] = -0.343690
c[297] = -0.539474
c[298] = -0.497771
c[299] = -0.260514
c[300] = -0.492715
c[301] = -0.294447
c[302] = -0.356779
c[303] = -0.524136
c[304] = -0.358425
c[305] = -0.594765
c[306] = -0.680259
c[307] = -0.382189
c[308] = -0.573435
c[309] = -0.716598
c[310] = -0.288042
c[311] = -0.421532
c[312] = -0.482214
c[313] = -0.277920
c[314] = -0.447519
c[315] = -0.550157
c[316] = -0.282580
c[317] = -0.508582
c[318] = -0.629930
c[319] = -0.331012
c[320] = -0.505960
c[321] = -0.574152
c[322] = -0.373787
c[323] = -0.472987
c[324] = -0.567739
c[325] = -0.303738
c[326] = -0.500895
c[327] = -0.586029
c[328] = -0.345244
c[329] = -0.477301
c[330] = -0.549527
c[331] = -0.563077
c[332] = -0.611898
c[333] = -0.717316
c[334] = -0.613805
c[335] = -0.706509
c[336] = -0.607267
c[337] = -0.482697
c[338] = -0.467264
c[339] = -0.512281
c[340] = -0.508073
c[341] = -0.481437
c[342] = -0.542394
c[343] = -0.554489
c[344] = -0.647370
c[345] = -0.525031
c[346] = -0.571406
c[347] = -0.552066
c[348] = -0.650744
c[349] = -0.515237
c[350] = -0.500425
c[351] = -0.597578
c[352] = -0.511141
c[353] = -0.592744
c[354] = -0.471080
c[355] = -0.480366
c[356] = -0.514766
c[357] = -0.451035
c[358] = -0.585642
c[359] = -0.663637
c[360] = -0.641137
c[361] = -0.714968
c[362] = -0.611397
c[363] = -0.632959
c[364] = -0.550331
c[365] = -0.518337
c[366] = -0.439598
c[367] = -0.527076
c[368] = -0.484612
c[369] = -0.516544
c[370] = -0.634569
c[371] = -0.558993
c[372] = -0.596135
c[373] = -0.625323
c[374] = -0.648743
c[375] = -0.556497
c[376] = -0.554357
c[377] = -0.544356
c[378] = -0.544317
c[379] = -0.607174
c[380] = -0.492851
c[381] = -0.501149
c[382] = -0.525399
c[383] = -0.439990
c[384] = -0.420514
c[385] = -0.655123
c[386] = -0.610662
c[387] = -0.591611
c[388] = -0.614218
c[389] = -0.653050
c[390] = -0.651606
c[391] = -0.588821
c[392] = -0.453124
c[393] = -0.438065
c[394] = -0.533174
c[395] = -0.478615
c[396] = -0.487522
c[397] = -0.542144
c[398] = -0.641736
c[399] = -0.623171
c[400] = -0.682995
c[401] = -0.565571
c[402] = -0.559064
c[403] = -0.543705
c[404] = -0.508921
c[405] = -0.521457
c[406] = -0.455526
c[407] = -0.531515
c[408] = -0.504893
c[409] = -0.389473
c[410] = -0.419391
c[411] = -0.456705
c[412] = -0.569781
c[413] = -0.567877
c[414] = -0.563247
c[415] = -0.658828
c[416] = -0.682195
c[417] = -0.506279
c[418] = -0.466329
c[419] = -0.462241
c[420] = -0.403731
c[421] = -0.504186
c[422] = -0.445422
c[423] = -0.467583
c[424] = -0.574560
c[425] = -0.659803
c[426] = -0.504385
c[427] = -0.539420
c[428] = -0.567826
c[429] = -0.526306
c[430] = -0.503594
c[431] = -0.488927
c[432] = -0.426182
c[433] = -0.411689
c[434] = -0.544586
c[435] = -0.344465
c[436] = -0.285406
c[437] = -0.459150
c[438] = -0.420361
c[439] = -0.517087
c[440] = -0.536700
c[441] = -0.567780
c[442] = -0.577118
c[443] = -0.527560
c[444] = -0.522894
c[445] = -0.373197
c[446] = -0.420527
c[447] = -0.420767
c[448] = -0.440412
c[449] = -0.408053
c[450] = -0.461683
c[451] = -0.548965
c[452] = -0.527672
c[453] = -0.510945
c[454] = -0.496745
c[455] = -0.527649
c[456] = -0.515867
c[457] = -0.462946
c[458] = -0.380949
c[459] = -0.376288
c[460] = -0.428872
c[461] = -0.369250
c[462] = -0.376651
c[463] = -0.275709
c[464] = -0.415664
c[465] = -0.480940
c[466] = -0.453710
c[467] = -0.525981
c[468] = -0.551039
c[469] = -0.458214
c[470] = -0.528682
c[471] = -0.511727
c[472] = -0.361305
c[473] = -0.432755
c[474] = -0.408691
c[475] = -0.381652
c[476] = -0.414425
c[477] = -0.457849
c[478] = -0.383778
c[479] = -0.529992
c[480] = -0.463256
c[481] = -0.483156
c[482] = -0.514932
c[483] = -0.514672
c[484] = -0.376602
c[485] = -0.347357
c[486] = -0.448702
c[487] = -0.225210
c[488] = -0.395882
c[489] = -0.369356
c[490] = -0.263545
c[491] = -0.455886
c[492] = -0.476476
c[493] = -0.439914
c[494] = -0.515268
c[495] = -0.586331
c[496] = -0.420125
c[497] = -0.513064
c[498] = -0.483428
c[499] = -0.339452
Predicted in 1.391702 seconds.
data/dog.jpg: Predicted in 5.662051 seconds.
