checkpoint 9.1
b[1499] = [0.479282]
b[1500] = [0.636456]
b[1501] = [0.650111]
b[1502] = [0.455630]
b[1503] = [0.614212]
b[1504] = [0.582565]
b[1505] = [0.383916]
b[1506] = [0.671373]
b[1507] = [0.599216]
b[1508] = [0.436863]
b[1509] = [0.726633]
b[1510] = [0.783397]
b[1511] = [0.540316]
b[1512] = [0.570754]
b[1513] = [0.663974]
b[1514] = [0.392771]
b[1515] = [0.605226]
b[1516] = [0.789766]
b[1517] = [0.394548]
b[1518] = [0.562977]
b[1519] = [0.741602]
b[1520] = [0.377038]
b[1521] = [0.485972]
b[1522] = [0.654099]
b[1523] = [0.385920]
b[1524] = [0.544843]
b[1525] = [0.639386]
b[1526] = [0.399745]
b[1527] = [0.615308]
b[1528] = [0.710890]
b[1529] = [0.456933]
b[1530] = [0.496906]
b[1531] = [0.626034]
b[1532] = [0.291812]
b[1533] = [0.569818]
b[1534] = [0.733730]
b[1535] = [0.350475]
b[1536] = [0.676551]
b[1537] = [0.800435]
b[1538] = [0.488996]
b[1539] = [0.800435]
b[1540] = [0.957420]
b[1541] = [0.537132]
b[1542] = [0.815451]
b[1543] = [1.000000]
b[1544] = [0.494071]
b[1545] = [0.725773]
b[1546] = [0.789151]
b[1547] = [0.443883]
b[1548] = [0.528420]
b[1549] = [0.658002]
b[1550] = [0.315880]
b[1551] = [0.681059]
b[1552] = [0.876721]
b[1553] = [0.364442]
b[1554] = [0.842230]
b[1555] = [0.976471]
b[1556] = [0.535441]
b[1557] = [0.658493]
b[1558] = [0.796740]
b[1559] = [0.448571]
b[1560] = [0.887646]
b[1561] = [0.930764]
b[1562] = [0.696802]
b[1563] = [0.838355]
b[1564] = [0.921446]
b[1565] = [0.661270]
b[1566] = [0.808193]
b[1567] = [0.938672]
b[1568] = [0.578965]
b[1569] = [0.811765]
b[1570] = [0.943907]
b[1571] = [0.598337]
b[1572] = [0.707678]
b[1573] = [0.870730]
b[1574] = [0.478573]
b[1575] = [0.688760]
b[1576] = [0.776140]
b[1577] = [0.408920]
b[1578] = [0.704286]
b[1579] = [0.789814]
b[1580] = [0.459448]
b[1581] = [0.610310]
b[1582] = [0.734156]
b[1583] = [0.396901]
b[1584] = [0.759113]
b[1585] = [0.863955]
b[1586] = [0.492512]
b[1587] = [0.854477]
b[1588] = [0.911316]
b[1589] = [0.592204]
b[1590] = [0.801219]
b[1591] = [0.874916]
b[1592] = [0.586931]
b[1593] = [0.639462]
b[1594] = [0.796220]
b[1595] = [0.357184]
b[1596] = [0.828587]
b[1597] = [0.878065]
b[1598] = [0.604123]
b[1599] = [0.848645]
b[1600] = [0.892104]
b[1601] = [0.654324]
b[1602] = [0.653437]
b[1603] = [0.738578]
b[1604] = [0.435153]
b[1605] = [0.507602]
b[1606] = [0.631373]
b[1607] = [0.341365]
b[1608] = [0.584172]
b[1609] = [0.682391]
b[1610] = [0.430295]
b[1611] = [0.852162]
b[1612] = [0.908604]
b[1613] = [0.676891]
b[1614] = [0.707893]
b[1615] = [0.724599]
b[1616] = [0.478306]
b[1617] = [0.516466]
b[1618] = [0.557572]
b[1619] = [0.360832]
b[1620] = [0.576632]
b[1621] = [0.661660]
b[1622] = [0.444348]
b[1623] = [0.706685]
b[1624] = [0.841578]
b[1625] = [0.442060]
b[1626] = [0.572218]
b[1627] = [0.708122]
b[1628] = [0.415223]
b[1629] = [0.693031]
b[1630] = [0.893466]
b[1631] = [0.457737]
b[1632] = [0.437514]
b[1633] = [0.696477]
b[1634] = [0.297283]
b[1635] = [0.584137]
b[1636] = [0.645549]
b[1637] = [0.499280]
b[1638] = [0.761199]
b[1639] = [0.823019]
b[1640] = [0.609477]
b[1641] = [0.402155]
b[1642] = [0.437600]
b[1643] = [0.222226]
b[1644] = [0.340184]
b[1645] = [0.351628]
b[1646] = [0.201946]
b[1647] = [0.460146]
b[1648] = [0.518498]
b[1649] = [0.303614]
b[1650] = [0.551609]
b[1651] = [0.491746]
b[1652] = [0.330300]
b[1653] = [0.752320]
b[1654] = [0.660612]
b[1655] = [0.589873]
b[1656] = [0.486643]
b[1657] = [0.518951]
b[1658] = [0.339863]
b[1659] = [0.708151]
b[1660] = [0.733844]
b[1661] = [0.506090]
b[1662] = [0.646822]
b[1663] = [0.636853]
b[1664] = [0.431183]
b[1665] = [0.742566]
b[1666] = [0.737746]
b[1667] = [0.506780]
b[1668] = [0.381100]
b[1669] = [0.369988]
b[1670] = [0.146694]
b[1671] = [0.864333]
b[1672] = [0.753585]
b[1673] = [0.695706]
b[1674] = [0.946988]
b[1675] = [0.902661]
b[1676] = [0.729015]
b[1677] = [0.777842]
b[1678] = [0.796315]
b[1679] = [0.479850]
b[1680] = [0.540439]
b[1681] = [0.634462]
b[1682] = [0.286936]
b[1683] = [0.501591]
b[1684] = [0.583537]
b[1685] = [0.261081]
b[1686] = [0.619759]
b[1687] = [0.766161]
b[1688] = [0.353423]
b[1689] = [0.658739]
b[1690] = [0.879358]
b[1691] = [0.311448]
b[1692] = [0.682353]
b[1693] = [0.929459]
b[1694] = [0.329317]
b[1695] = [0.531717]
b[1696] = [0.771575]
b[1697] = [0.222622]
b[1698] = [0.563260]
b[1699] = [0.854705]
b[1700] = [0.263775]
b[1701] = [0.535979]
b[1702] = [0.759556]
b[1703] = [0.318157]
b[1704] = [0.460281]
b[1705] = [0.659526]
b[1706] = [0.254687]
b[1707] = [0.644555]
b[1708] = [0.878385]
b[1709] = [0.371274]
b[1710] = [0.338524]
b[1711] = [0.508654]
b[1712] = [0.077916]
b[1713] = [0.686095]
b[1714] = [0.809128]
b[1715] = [0.541289]
b[1716] = [0.583057]
b[1717] = [0.737992]
b[1718] = [0.427082]
b[1719] = [0.555379]
b[1720] = [0.782301]
b[1721] = [0.372123]
b[1722] = [0.514434]
b[1723] = [0.694165]
b[1724] = [0.298984]
b[1725] = [0.479328]
b[1726] = [0.528882]
b[1727] = [0.280396]
b[1728] = [0.633933]
b[1729] = [0.709085]
b[1730] = [0.399329]
b[1731] = [0.708613]
b[1732] = [0.842173]
b[1733] = [0.308669]
b[1734] = [0.661281]
b[1735] = [0.810301]
b[1736] = [0.353161]
b[1737] = [0.619797]
b[1738] = [0.737538]
b[1739] = [0.480085]
b[1740] = [0.815007]
b[1741] = [0.900355]
b[1742] = [0.694241]
b[1743] = [0.698625]
b[1744] = [0.800000]
b[1745] = [0.501394]
b[1746] = [0.680009]
b[1747] = [0.834122]
b[1748] = [0.425192]
b[1749] = [0.645981]
b[1750] = [0.838951]
b[1751] = [0.414467]
b[1752] = [0.644460]
b[1753] = [0.814599]
data/dog.jpg: Predicted in 1.865218 seconds.
